ethics,1.6E+11,0,16,
angeles,1.3E+11,0,13,
children,1.2E+11,0,12,
aicpa,1.1E+11,0,11,
blended,1.1E+11,0,11,
breakage,1.1E+11,0,11,
actuarially,90000000000,0,9,
analog,90000000000,0,9,
los,90000000000,0,9,
attainment,80000000000,0,8,
audio,80000000000,0,8,
bargaining,80000000000,0,8,
codes,80000000000,0,8,
commonwealth,80000000000,0,8,
contrast,80000000000,0,8,
cubic,80000000000,0,8,
floors,80000000000,0,8,
mae,80000000000,0,8,
aro,70000000000,0,7,
awaiting,70000000000,0,7,
bidding,70000000000,0,7,
blanket,70000000000,0,7,
cautions,70000000000,0,7,
earnout,70000000000,0,7,
wireline,70000000000,0,7,
accumulate,60000000000,0,6,
arriving,60000000000,0,6,
ash,60000000000,0,6,
asked,60000000000,0,6,
characterization,60000000000,0,6,
cincinnati,60000000000,0,6,
coinsurance,60000000000,0,6,
communicated,60000000000,0,6,
concludes,60000000000,0,6,
cre,60000000000,0,6,
diem,60000000000,0,6,
dosing,60000000000,0,6,
duplicative,60000000000,0,6,
nickel,60000000000,0,6,
obligor,60000000000,0,6,
wachovia,60000000000,0,6,
accessing,50000000000,0,5,
advancing,50000000000,0,5,
alberta,50000000000,0,5,
announce,50000000000,0,5,
answer,50000000000,0,5,
assists,50000000000,0,5,
bed,50000000000,0,5,
bifurcated,50000000000,0,5,
bla,50000000000,0,5,
broadly,50000000000,0,5,
bypass,50000000000,0,5,
captures,50000000000,0,5,
cast,50000000000,0,5,
cdars,50000000000,0,5,
ce,50000000000,0,5,
characteristic,50000000000,0,5,
citibank,50000000000,0,5,
clause,50000000000,0,5,
constructive,50000000000,0,5,
deconsolidated,50000000000,0,5,
disclaims,50000000000,0,5,
doubled,50000000000,0,5,
duly,50000000000,0,5,
entries,50000000000,0,5,
maine,50000000000,0,5,
adjudication,40000000000,0,4,
adult,40000000000,0,4,
aligns,40000000000,0,4,
ample,40000000000,0,4,
anda,40000000000,0,4,
applicant,40000000000,0,4,
attaining,40000000000,0,4,
band,40000000000,0,4,
branching,40000000000,0,4,
capitalizable,40000000000,0,4,
captions,40000000000,0,4,
career,40000000000,0,4,
categorize,40000000000,0,4,
cdn,40000000000,0,4,
charles,40000000000,0,4,
click,40000000000,0,4,
coastal,40000000000,0,4,
collar,40000000000,0,4,
comerica,40000000000,0,4,
communicating,40000000000,0,4,
complications,40000000000,0,4,
conditioned,40000000000,0,4,
continuance,40000000000,0,4,
contra,40000000000,0,4,
crew,40000000000,0,4,
custody,40000000000,0,4,
detected,40000000000,0,4,
deterring,40000000000,0,4,
devoting,40000000000,0,4,
dial,40000000000,0,4,
distinguishing,40000000000,0,4,
domicile,40000000000,0,4,
doubts,40000000000,0,4,
eesa,40000000000,0,4,
encryption,40000000000,0,4,
freestanding,40000000000,0,4,
ltip,40000000000,0,4,
nm,40000000000,0,4,
nullifies,40000000000,0,4,
nutritional,40000000000,0,4,
oak,40000000000,0,4,
occupies,40000000000,0,4,
salt,40000000000,0,4,
springs,40000000000,0,4,
twice,40000000000,0,4,
workout,40000000000,0,4,
worst,40000000000,0,4,
wrongfully,40000000000,0,4,
yearly,40000000000,0,4,
abs,30000000000,0,3,
accepts,30000000000,0,3,
amt,30000000000,0,3,
army,30000000000,0,3,
arthur,30000000000,0,3,
attachment,30000000000,0,3,
attained,30000000000,0,3,
austria,30000000000,0,3,
authentication,30000000000,0,3,
autoimmune,30000000000,0,3,
avoided,30000000000,0,3,
backing,30000000000,0,3,
bar,30000000000,0,3,
broadens,30000000000,0,3,
btu,30000000000,0,3,
ca,30000000000,0,3,
cardiovascular,30000000000,0,3,
carryovers,30000000000,0,3,
cede,30000000000,0,3,
chargeback,30000000000,0,3,
churning,30000000000,0,3,
circuits,30000000000,0,3,
circumvent,30000000000,0,3,
classifying,30000000000,0,3,
