company name ,cik,cik 2 ,missing ,notes 
Deere,315189,,,
H.J. Heinz,46640,1637459,,
Bestfoods,25350,,,
Bayer Corporation,,,,
Sealed Air,1012100,,missing 1994-1997,
Eli Lilly,59478,,,
Campbell Soup,16732,,"missing 96, 97, 98, 99,00, 01",
Honeywell,48305,773840,overlapping years as have honeywell central and honeywell international,
Kellogg,55067,,,
Union Carbide,100790,,"missing 10-ks from 1993-1996, 2001 ",
Cooper Industries,24454,1141982,"missing 1993-2002, 2013-2018",
North American Philips,,,,
Intel,50863,,,
Amerada Hess,4447,,"missing 95, 97, 00",
Martin Marietta,916076,,1994-2002 ,
PPG Industries,79879,,"1997, 2000, 2001",
Litton Industries,59880,,"1995, 2001-2018",
Reynolds Metals,83604,,"95, 96, 97, 98, 00-18",
Warner-Lambert,104669,,"96, 97, 01-18",
Quaker Oats,81371,,,
Levi Strauss,94845,,before 2000,
Northrop Grumman,72945,,2002-2018,
Stone Container,94610,,,
LTV,,,,
American Cyanamid,4829,,,AMERICAN CYANAMID CO merged with American Home Products (AHP) in 1994.
Gillette,41499,,"96-98, 06-18","On October 1, 2005, Procter & Gamble finalized its merger with the Gillette Company."
Johnson Controls,53669,,"97, 98,99, 00, 01, 17-18 ",
Coca-Cola Enterprises,1491675,,"before 2011, after 2016 ",
BASF,,,,
Dana,26780,,95,
Champion International,19150,,nearly no data apart from 95,
Scott Paper,87949,,,The company was acquired by the Kimberly-Clark Corporation in 1995
Lyondell Chemical,842635,1489393,"95-98,09-18","LyondellBasell was formed in December 2007 by the acquisition of Lyondell Chemical Company by Basell Polyolefins for $12.7 billion.[7] As of 2016, Lyondell was the third largest independent chemical manufacturer in the United States.[8]"
Black & Decker,93556,12355,"00,01 ",2010 – Black & Decker merges with Stanley Works to become Stanley Black & Decker
Fort James,53117,,,"In 1997, the Fort Howard Paper Company and the James River Corporation merged to form the Fort James Corporation.[1][4] Fort Howard was headquartered in Green Bay and James River in Richmond,In 2000, the Fort James Corporation was acquired by Georgia-Pacific for $11 billion;[1][4] GP is based in Atlanta, Georgia. Virginia."
Mead,64394,,"missing 2001+, strange. ","missing 2005+, strange. "
Chiquita Brands Intl.,101063,,"98,01,06-18",
Dresser Industries,30099,,,"In 1998, Dresser merged with its main rival Halliburton,[1] Halliburton sold many of former Dresser non ""oil patch"" divisions, retaining the M W Kellogg Engineering and Construction Company and the Dresser oil-patch products and services that complemented Halliburton's energy and natural resource businesses. In 2001 Halliburton sold five separate, but somewhat related former Dresser non ""oil patch"" divisions, to an investment banking firm. Those five operations later took the name ""Dresser Inc."" In October 2010, Dresser Inc., was acquired by General Electric.[2] It is headquartered in Addison, Texas.[3]"
R.R. Donnelley & Sons,29669,,"95,97-02",
Tyson Foods,100493,,"95-99,01",
Compaq Computer,714154,,"96, 97","Struggling to keep up in the price wars against Dell, as well as with a risky acquisition of DEC,[4] Compaq was acquired for US$25 billion by HP in 2002"
J.E. Seagram,,,,Seagram was sold to French conglomerate Vivendi in 2000.
Rhone-Poulenc Rorer,217028,1325676,,In 1999 it merged with Hoechst AG to form Aventis.
Eaton,1490873,,,
Schering-Plough,310158,,"97, 98, 99, 00"," On November 4, 2009 Merck & Co. merged with Schering-Plough with the new company taking the name of Merck & Co."
Bethlehem Steel,11860,,,"After a decline in the American steel industry and other problems leading to the company's bankruptcy in 2001, the Bethlehem Steel Corporation was dissolved and the remaining assets sold to International Steel Group in 2003; Bethlehem Steel Corporation did not merge with/into International Steel Group."
FMC,37785,,"95, 2000,2001 ",
Navistar International,808450,,-,
VF,,,,
Avon Products,8868,,-,
American Standard,836102,,"95-97, 09-19 ",
Ingersoll-Rand,1466258,50485,43532,
Crown Holdings,1219601,,34001,
Cummins,26172,,,
Corning,24741,,1,
OfficeMax,929428,,"only have 97, 02, 03",
Pharmacia,12978,,"95, 96.00.01.02.14-19 ",
Owens-Illinois,812233,812074,,This may refer to OWENS & MINOR INC/VA/ or OWENS ILLINOIS INC /DE/
AMAX,,,,
