79,Deere,"6,960.70",37.4,315189,,
80,H.J. Heinz,"6,628.50",638.3,46640,1637459,
81,Bestfoods,"6,599.00",223.8,25350,,
82,Bayer Corporation,"6,499.00",69.8,,,
83,Sealed Air,"6,329.60",-294.5,1012100,,
84,Eli Lilly,"6,282.30",708.7,59478,,
85,Campbell Soup,"6,278.50",490.5,16732,,
86,Honeywell,"6,254.00",246.8,48305,773840,
87,Kellogg,"6,190.60",431.2,55067,,
88,Union Carbide,"6,167.00",-175,100790,,
89,Cooper Industries,"6,158.50",-228.7,24454,1141982,
90,North American Philips,"6,138.00",49.8,,,
91,Intel,"5,985.40","1,066.50",50863,,
92,Amerada Hess,"5,970.40",7.5,4447,,
93,Martin Marietta,"5,970.10",345.4,916076,,
94,PPG Industries,"5,857.70",319.4,79879,,
95,Litton Industries,"5,741.40",174.4,59880,,
96,Reynolds Metals,"5,620.30",-748.8,83604,,
97,Warner-Lambert,"5,597.60",644,104669,,
98,Quaker Oats,"5,586.00",247.6,81371,,
99,Levi Strauss,"5,570.30",360.8,94845,,
100,Northrop Grumman,"5,550.00",121,72945,,
101,Stone Container,"5,533.00",-170.5,94610,,
102,LTV,"5,425.30",598.7,,,
103,American Cyanamid,"5,267.50",395.1,4829,,AMERICAN CYANAMID CO merged with American Home Products (AHP) in 1994.
104,Gillette,"5,190.10",513.4,41499,,
105,Johnson Controls,"5,164.70",123,53669,,
106,Coca-Cola Enterprises,"5,127.00",-186,1491675,,
107,BASF,"5,042.40",-116.1,,,
108,Dana,"5,036.10",-382,26780,,
109,Champion International,"4,950.30",-440.4,19150,,"On October 1, 2005, Procter & Gamble finalized its merger with the Gillette Company."
110,Scott Paper,"4,886.20",167.2,87949,,The company was acquired by the Kimberly-Clark Corporation in 1995
